Text,Location,Source,Timestamp,Category,pre_reason,cluster,final_category,is_wrong,error_reason,predicted_category,correct
"Severe drought affecting water supply in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",NDTV News,2023-01-19T07:31:52Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Landslides triggered due to rainfall in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",The Hindu,2025-07-12T08:41:54Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Extreme heatwave conditions observed in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Twitter,2024-10-04T01:03:07Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Multiple climate events including cold_wave affecting Mumbai, Maharashtra with severe impact.","Mumbai, Maharashtra",NDTV News,2023-01-17T01:25:24Z,COLD_WAVE,Indicates cold wave conditions,9,FLOODS,True,Cold wave merged into general extreme weather cluster,FLOODS,False
"Multiple climate events including cyclone affecting Pune, Maharashtra with severe impact.","Pune, Maharashtra",IMD Bulletin,2025-11-15T09:48:03Z,CYCLONE,General climate event,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Multiple climate events including thunderstorm affecting Bengaluru, Karnataka with severe impact.","Bengaluru, Karnataka",NDTV News,2025-05-16T22:03:04Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Multiple climate events including cold_wave affecting Hyderabad, Telangana with severe impact.","Hyderabad, Telangana",District Collector Office,2024-07-31T14:59:13Z,COLD_WAVE,Indicates cold wave conditions,9,FLOODS,True,Cold wave merged into general extreme weather cluster,FLOODS,False
"Cold wave with very low temperatures in Munnar, Kerala.","Munnar, Kerala",District Collector Office,2023-07-05T16:28:48Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Extreme heatwave conditions observed in Mumbai, Maharashtra.","Mumbai, Maharashtra",District Collector Office,2024-07-23T18:24:53Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Cold wave with very low temperatures in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",Local News,2025-03-02T09:50:16Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Extreme heatwave conditions observed in Kolkata, West Bengal.","Kolkata, West Bengal",Weather Dept,2023-09-21T16:45:01Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Thunderstorm with lightning strikes in Mysuru, Karnataka.","Mysuru, Karnataka",Local News,2023-09-09T12:33:32Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Hailstorm damaging crops and vehicles in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",The Hindu,2023-04-21T01:54:47Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Landslides triggered due to rainfall in Pune, Maharashtra.","Pune, Maharashtra",Local News,2023-07-29T18:52:49Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Severe drought affecting water supply in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",IMD Bulletin,2025-12-31T02:10:03Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Cold wave with very low temperatures in Munnar, Kerala.","Munnar, Kerala",NDTV News,2023-05-11T19:23:23Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Severe drought affecting water supply in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",Weather Dept,2023-04-11T16:50:47Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Cyclone causing strong winds and rain in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",Twitter,2023-11-28T23:00:35Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Heavy rainfall has caused flooding in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",Weather Dept,2024-11-12T23:28:19Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Multiple climate events including air_pollution affecting Munnar, Kerala with severe impact.","Munnar, Kerala",Twitter,2025-05-23T01:31:24Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Air quality dropped to hazardous levels in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Local News,2024-05-11T05:40:50Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Extreme heatwave conditions observed in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",IMD Bulletin,2025-05-10T00:15:33Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Cyclone causing strong winds and rain in Mysuru, Karnataka.","Mysuru, Karnataka",IMD Bulletin,2025-12-10T03:16:40Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Hailstorm damaging crops and vehicles in Katpadi, Vellore.","Katpadi, Vellore",Twitter,2023-08-17T17:15:23Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Multiple climate events including cyclone affecting Vijayawada, Andhra Pradesh with severe impact.","Vijayawada, Andhra Pradesh",NDTV News,2025-04-07T04:41:34Z,CYCLONE,General climate event,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Heavy rainfall has caused flooding in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",The Hindu,2024-12-27T08:13:51Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Cyclone causing strong winds and rain in Guwahati, Assam.","Guwahati, Assam",IMD Bulletin,2025-11-23T22:33:10Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Multiple climate events including air_pollution affecting Mumbai, Maharashtra with severe impact.","Mumbai, Maharashtra",Local News,2025-10-17T03:28:25Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Multiple climate events including thunderstorm affecting Chennai, Tamil Nadu with severe impact.","Chennai, Tamil Nadu",District Collector Office,2025-02-24T13:23:45Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Air quality dropped to hazardous levels in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",District Collector Office,2024-03-26T02:45:58Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Heavy rainfall has caused flooding in Kochi, Kerala.","Kochi, Kerala",NDTV News,2024-03-29T13:00:39Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Heavy rainfall has caused flooding in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",NDTV News,2023-09-06T03:36:45Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Landslides triggered due to rainfall in Bengaluru, Karnataka.","Bengaluru, Karnataka",The Hindu,2024-05-01T15:23:00Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Wildfire spreading rapidly in Bengaluru, Karnataka.","Bengaluru, Karnataka",Twitter,2024-12-19T14:37:19Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Extreme heatwave conditions observed in Delhi, NCR.","Delhi, NCR",NDTV News,2025-05-01T18:15:43Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Air quality dropped to hazardous levels in Munnar, Kerala.","Munnar, Kerala",NDTV News,2025-12-13T10:03:31Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Severe drought affecting water supply in Pune, Maharashtra.","Pune, Maharashtra",NDTV News,2025-11-28T12:17:10Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Severe drought affecting water supply in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",Twitter,2024-06-17T23:02:28Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Hailstorm damaging crops and vehicles in Katpadi, Vellore.","Katpadi, Vellore",Local News,2025-08-11T19:38:21Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Extreme heatwave conditions observed in Mysuru, Karnataka.","Mysuru, Karnataka",NDTV News,2024-05-17T22:27:03Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Air quality dropped to hazardous levels in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",District Collector Office,2023-11-30T08:38:09Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Cold wave with very low temperatures in Kochi, Kerala.","Kochi, Kerala",Weather Dept,2023-05-16T22:57:12Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Extreme heatwave conditions observed in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",Twitter,2025-12-13T21:39:51Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Hailstorm damaging crops and vehicles in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",IMD Bulletin,2023-10-22T23:04:36Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Air quality dropped to hazardous levels in Pune, Maharashtra.","Pune, Maharashtra",IMD Bulletin,2025-09-23T18:08:39Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Thunderstorm with lightning strikes in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Weather Dept,2023-11-06T01:50:50Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Landslides triggered due to rainfall in Kolkata, West Bengal.","Kolkata, West Bengal",NDTV News,2023-12-05T01:15:12Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Landslides triggered due to rainfall in Warangal, Telangana.","Warangal, Telangana",District Collector Office,2025-12-29T05:00:28Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Extreme heatwave conditions observed in Delhi, NCR.","Delhi, NCR",Local News,2024-10-23T21:33:34Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Multiple climate events including floods affecting Mumbai, Maharashtra with severe impact.","Mumbai, Maharashtra",NDTV News,2024-11-13T18:25:46Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Multiple climate events including hailstorm affecting Hyderabad, Telangana with severe impact.","Hyderabad, Telangana",Twitter,2025-11-15T20:57:53Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Extreme heatwave conditions observed in Kolkata, West Bengal.","Kolkata, West Bengal",Twitter,2025-11-06T21:03:03Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Air quality dropped to hazardous levels in Kochi, Kerala.","Kochi, Kerala",Local News,2024-07-05T10:04:44Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Cyclone causing strong winds and rain in Mysuru, Karnataka.","Mysuru, Karnataka",Weather Dept,2023-10-26T15:28:51Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Multiple climate events including thunderstorm affecting Mumbai, Maharashtra with severe impact.","Mumbai, Maharashtra",District Collector Office,2025-11-12T18:13:10Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Multiple climate events including hailstorm affecting Coimbatore, Tamil Nadu with severe impact.","Coimbatore, Tamil Nadu",Weather Dept,2024-12-23T11:34:04Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Extreme heatwave conditions observed in Hyderabad, Telangana.","Hyderabad, Telangana",NDTV News,2024-10-21T00:59:20Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Thunderstorm with lightning strikes in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",The Hindu,2023-02-24T22:56:24Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Extreme heatwave conditions observed in Guwahati, Assam.","Guwahati, Assam",The Hindu,2025-07-11T09:11:23Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Cold wave with very low temperatures in Jaipur, Rajasthan.","Jaipur, Rajasthan",IMD Bulletin,2023-09-28T13:38:05Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Wildfire spreading rapidly in Warangal, Telangana.","Warangal, Telangana",IMD Bulletin,2024-06-07T04:21:50Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Landslides triggered due to rainfall in Munnar, Kerala.","Munnar, Kerala",The Hindu,2025-10-03T19:35:07Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Heavy rainfall has caused flooding in Bengaluru, Karnataka.","Bengaluru, Karnataka",Local News,2023-03-21T23:36:20Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Severe drought affecting water supply in Jaipur, Rajasthan.","Jaipur, Rajasthan",NDTV News,2024-06-03T01:15:16Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Cold wave with very low temperatures in Bengaluru, Karnataka.","Bengaluru, Karnataka",IMD Bulletin,2023-08-23T11:28:46Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Thunderstorm with lightning strikes in Jaipur, Rajasthan.","Jaipur, Rajasthan",The Hindu,2024-09-15T21:43:10Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Landslides triggered due to rainfall in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",NDTV News,2024-03-30T08:32:26Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Thunderstorm with lightning strikes in Mysuru, Karnataka.","Mysuru, Karnataka",IMD Bulletin,2023-02-02T23:53:02Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Air quality dropped to hazardous levels in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",The Hindu,2023-12-24T20:30:43Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Multiple climate events including wildfire affecting Warangal, Telangana with severe impact.","Warangal, Telangana",NDTV News,2023-09-25T12:53:22Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Multiple climate events including air_pollution affecting Visakhapatnam, Andhra Pradesh with severe impact.","Visakhapatnam, Andhra Pradesh",Local News,2024-03-26T18:49:32Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Hailstorm damaging crops and vehicles in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Twitter,2025-03-22T05:46:16Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Hailstorm damaging crops and vehicles in Jaipur, Rajasthan.","Jaipur, Rajasthan",NDTV News,2023-11-17T10:11:28Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Multiple climate events including hailstorm affecting Hyderabad, Telangana with severe impact.","Hyderabad, Telangana",Twitter,2023-05-17T18:32:50Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Heavy rainfall has caused flooding in Kolkata, West Bengal.","Kolkata, West Bengal",District Collector Office,2025-12-23T21:18:08Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Hailstorm damaging crops and vehicles in Kolkata, West Bengal.","Kolkata, West Bengal",Local News,2025-05-13T00:07:51Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Wildfire spreading rapidly in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",Twitter,2024-11-04T06:08:45Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Landslides triggered due to rainfall in Warangal, Telangana.","Warangal, Telangana",Local News,2024-04-24T19:44:00Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Cyclone causing strong winds and rain in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",NDTV News,2024-04-03T16:51:36Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Multiple climate events including drought affecting Warangal, Telangana with severe impact.","Warangal, Telangana",Local News,2024-07-27T23:50:43Z,DROUGHT,Indicates water scarcity,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Extreme heatwave conditions observed in Munnar, Kerala.","Munnar, Kerala",Twitter,2023-09-06T23:51:26Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Landslides triggered due to rainfall in Mysuru, Karnataka.","Mysuru, Karnataka",IMD Bulletin,2024-07-18T08:36:55Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Cyclone causing strong winds and rain in Delhi, NCR.","Delhi, NCR",Local News,2023-04-02T22:37:34Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Landslides triggered due to rainfall in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",Local News,2025-04-08T09:04:49Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Air quality dropped to hazardous levels in Mysuru, Karnataka.","Mysuru, Karnataka",Local News,2023-11-06T17:45:14Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Thunderstorm with lightning strikes in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",Twitter,2025-04-28T13:43:56Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Wildfire spreading rapidly in Munnar, Kerala.","Munnar, Kerala",Twitter,2025-02-28T07:49:40Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Multiple climate events including wildfire affecting Guwahati, Assam with severe impact.","Guwahati, Assam",NDTV News,2023-06-01T15:02:46Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Air quality dropped to hazardous levels in Katpadi, Vellore.","Katpadi, Vellore",District Collector Office,2024-10-20T02:51:03Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Heavy rainfall has caused flooding in Kolkata, West Bengal.","Kolkata, West Bengal",Weather Dept,2023-04-18T16:00:00Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Severe drought affecting water supply in Warangal, Telangana.","Warangal, Telangana",Local News,2025-08-01T02:28:40Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Multiple climate events including thunderstorm affecting Madurai, Tamil Nadu with severe impact.","Madurai, Tamil Nadu",Local News,2025-11-06T07:03:27Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Severe drought affecting water supply in Mysuru, Karnataka.","Mysuru, Karnataka",District Collector Office,2024-04-28T07:57:40Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Multiple climate events including wildfire affecting Pune, Maharashtra with severe impact.","Pune, Maharashtra",Weather Dept,2024-04-28T23:45:37Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Severe drought affecting water supply in Kochi, Kerala.","Kochi, Kerala",Weather Dept,2025-09-25T11:45:49Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Wildfire spreading rapidly in Hyderabad, Telangana.","Hyderabad, Telangana",Twitter,2023-07-08T16:20:55Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Air quality dropped to hazardous levels in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",Weather Dept,2023-06-16T12:05:33Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Thunderstorm with lightning strikes in Kochi, Kerala.","Kochi, Kerala",District Collector Office,2024-10-09T15:10:00Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Wildfire spreading rapidly in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",Twitter,2024-09-13T13:28:56Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Landslides triggered due to rainfall in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Local News,2024-01-11T08:07:44Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Air quality dropped to hazardous levels in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",The Hindu,2023-11-19T13:30:47Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Thunderstorm with lightning strikes in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",The Hindu,2025-06-04T11:28:46Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Thunderstorm with lightning strikes in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",NDTV News,2023-07-26T12:41:40Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Cyclone causing strong winds and rain in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",Weather Dept,2023-11-07T21:17:25Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Air quality dropped to hazardous levels in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",IMD Bulletin,2024-11-08T07:48:04Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Multiple climate events including floods affecting Jaipur, Rajasthan with severe impact.","Jaipur, Rajasthan",Weather Dept,2023-12-24T13:04:24Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Cold wave with very low temperatures in Katpadi, Vellore.","Katpadi, Vellore",District Collector Office,2025-05-22T16:00:09Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Thunderstorm with lightning strikes in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",Weather Dept,2025-12-04T17:23:40Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Cold wave with very low temperatures in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",NDTV News,2025-12-20T20:14:03Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Landslides triggered due to rainfall in Bengaluru, Karnataka.","Bengaluru, Karnataka",IMD Bulletin,2023-10-14T05:55:48Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Cyclone causing strong winds and rain in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",Local News,2023-11-04T09:20:32Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Cyclone causing strong winds and rain in Mumbai, Maharashtra.","Mumbai, Maharashtra",IMD Bulletin,2025-08-28T11:40:21Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Heavy rainfall has caused flooding in Mumbai, Maharashtra.","Mumbai, Maharashtra",Twitter,2023-06-14T18:28:17Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Hailstorm damaging crops and vehicles in Delhi, NCR.","Delhi, NCR",Twitter,2024-04-01T15:37:56Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Cyclone causing strong winds and rain in Kolkata, West Bengal.","Kolkata, West Bengal",The Hindu,2025-02-01T02:03:17Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
